,xdp-mptm-main,bcc,ingress-node-firewall-master,ebpf-ratelimiter-main,bpf-filter-master,cilium,katran,ebpf-samples,xdp-mptm-main_count,bcc_count,ingress-node-firewall-master_count,ebpf-ratelimiter-main_count,bpf-filter-master_count,cilium_count,katran_count,ebpf-samples_count
hc_encap_ipip,[],[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'cgroup_device', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],0,0,0,0,0,0,23,0
handle_xgress,[],[],[],[],[],"['sched_act', 'sched_cls', 'xdp']",[],[],0,0,0,0,0,3,0,0
tail_ipv4_policy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_record_route,[],[],[],[],[],[],"['sched_act', 'flow_dissector', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],0,0,0,0,0,0,21,0
mptm_pass,['xdp'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_srv6_decap,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
sock6_recvmsg,[],[],[],[],[],"['sched_act', 'sched_cls']",[],[],0,0,0,0,0,2,0,0
__bpf_no_builtin_memcpy,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
xdp_store_bytes,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
handle_policy,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
tail_icmp6_send_echo_reply,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
ct_delete6,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
hash_64,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
from_host,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
pktcntr,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
__be32_to_cpup,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
tail_handle_ipv4_from_netdev,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv6_from_netdev,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__le16_to_cpup,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
submit_event,[],[],[],[],[],[],"['sched_act', 'lwt_xmit', 'cgroup_skb', 'raw_tracepoint', 'sk_skb', 'sched_cls', 'kprobe', 'lwt_out', 'xdp', 'lwt_in', 'lwt_seg6local', 'raw_tracepoint_writable', 'socket_filter', 'sock_ops', 'tracepoint', 'perf_event']",[],0,0,0,0,0,0,16,0
tail_lb_ipv4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
healthcheck_encap,[],[],[],[],[],[],"['sched_act', 'sched_cls']",[],0,0,0,0,0,0,2,0
tail_ipv6_host_policy_ingress,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
send_signal,[],[],[],[],[],"['raw_tracepoint', 'kprobe', 'raw_tracepoint_writable', 'tracepoint', 'perf_event']",[],[],0,0,0,0,0,5,0,0
__le64_to_cpup,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
__cpu_to_be64p,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
ipv4_load_daddr,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
__cpu_to_le16p,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
,,,,,,,,,4,67,22,1,2,1208,249,184
