,bpf-filter-master,ebpf-samples,xdp-mptm-main,bcc,cilium,ebpf-ratelimiter-main,ingress-node-firewall-master,katran,bpf-filter-master_count,ebpf-samples_count,xdp-mptm-main_count,bcc_count,cilium_count,ebpf-ratelimiter-main_count,ingress-node-firewall-master_count,katran_count
tail_handle_ipv4_cont,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
ipv6_addr_in_net,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__send_drop_notify,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ingress_node_firewall_process,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv6_policy,[],[],[],[],"['SNAT_MAPPING_IPV6', 'map_main', 'map_related']",[],[],[],0,0,0,0,3,0,0,0
__cpu_to_be32p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_icmp6_handle_ns,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_filter,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
reallocate_invalidates,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
csum_diff,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_root,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_overlay,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_rev_nodeport_lb6,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
tail_nodeport_ipv4_dsr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
hello,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
func,[],"['ctx', 'map2']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
tail_lb_ipv4,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
__be32_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_nodeport_nat_ipv6,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
healthcheck_encap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_record_route,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__le32_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
encap_v4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
handle_policy_egress,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
memmove,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
combine_ports,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_srv6_encap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__be16_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ct_delete6,[],[],[],[],[''],[],[],[],0,0,0,0,1,0,0,0
__fswahw32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv4_host_policy_ingress,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
mptm_decap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__le16_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_encap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_lb_ipv6,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
ct4_cilium_dbg_tuple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_redir_proxy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
l3_csum_replace,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_le64p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
RAW_TRACEPOINT_PROBE,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
foo,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv4_extract_tuple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv4_to_endpoint,[],[],[],[],"['SNAT_MAPPING_IPV4', 'map_main', 'map_related']",[],[],[],0,0,0,0,3,0,0,0
caller,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swahw32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
read_write_packet_start,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__be64_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_srv6_decap,[],[],[],[],"['SRV6_STATE_MAP6', 'SRV6_STATE_MAP4']",[],[],[],0,0,0,0,2,0,0,0
bpf_xdp_entry,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
balancer_ingress,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_store_bytes,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock4_post_bind,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
to_overlay,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
encap_v6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
handle_policy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_addr_is_mapped,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_load_nexthdr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
submit_event,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv4_policy,[],[],[],[],"['SNAT_MAPPING_IPV4', 'map_main', 'map_related']",[],[],[],0,0,0,0,3,0,0,0
__le64_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memcpy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_redirect,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock4_sendmsg,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv6_from_host,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
assign_socket,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock4_getpeername,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_prog_simple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_getpeername,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__fswahb32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_be64p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
test_repro,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
send_signal,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_ipv6_to_endpoint,[],[],[],[],"['SNAT_MAPPING_IPV6', 'map_main', 'map_related']",[],[],[],0,0,0,0,3,0,0,0
tail_nodeport_nat_ipv4,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
sock4_recvmsg,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv4_load_daddr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv4_from_host,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
main,[],[],[],[],[],"['map_fd [2]', 'map_fd[1]', 'map_fd [0]', 'prev_prog_map_fd', 'map_fd [3]', 'map_fd[4]']",[],[],0,0,0,0,0,6,0,0
bpf_sockmap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_recvmsg,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_pass,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swab32s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv6_from_netdev,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
sock4_pre_bind,[],[],[],[],['LB4_HEALTH_MAP'],[],[],[],0,0,0,0,1,0,0,0
custom_hook,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv4_from_netdev,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
__cpu_to_le16p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_rev_nodeport_lb4,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
__fswab16,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swab64s,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_extract_tuple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_load_paylen,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
jhash,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memmove,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_pre_bind,[],[],[],[],"['LB6_HEALTH_MAP', 'LB4_HEALTH_MAP']",[],[],[],0,0,0,0,2,0,0,0
from_network,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_encap_v4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
l4_csum_replace,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_be16p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_icmp6_send_echo_reply,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
to_netdev,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
__revalidate_data_pull,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_netdev,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
jhash_2words,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
TRACEPOINT_PROBE,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_val,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
handle_lxc_traffic,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
sock6_sendmsg,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_host,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_tail_call_static,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
handle_to_container,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
hc_encap_ipip,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
jhash_1word,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memcmp,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
_send_drop_notify,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_nat_fwd_ipv4,[],[],[],[],"['map_main', 'map_related']",[],[],[],0,0,0,0,2,0,0,0
ct_delete4,[],[],[],[],[''],[],[],[],0,0,0,0,1,0,0,0
sock4_connect,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__fswab64,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
test,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
