,cilium,ebpf-samples,xdp-mptm-main,katran,bcc,ebpf-ratelimiter-main,bpf-filter-master,ingress-node-firewall-master,cilium_count,ebpf-samples_count,xdp-mptm-main_count,katran_count,bcc_count,ebpf-ratelimiter-main_count,bpf-filter-master_count,ingress-node-firewall-master_count
tail_nodeport_nat_ipv4,"['map', 'METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP']",[],[],[],[],[],[],[],3,0,0,0,0,0,0,0
l4_csum_replace,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_store_bytes,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_pass,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
handle_xgress,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
sock6_connect,"['METRICS_MAP', 'LB4_AFFINITY_MAP', 'LB6_AFFINITY_MAP', 'LB4_REVERSE_NAT_SK_MAP', 'LB6_REVERSE_NAT_SK_MAP']",[],[],[],[],[],[],[],5,0,0,0,0,0,0,0
bpf_sockmap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
hc_encap_gue,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv4_load_daddr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_icmp6_handle_ns,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_load_nexthdr,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
bpf_filter,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
encap_v4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_srv6_decap,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
send_signal,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memcmp,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock4_post_bind,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_le16p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_record_route,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_srv6_reply,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__be16_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_srv6_encap,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
sock6_post_bind,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
jhash_2words,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv4_from_netdev,"['NODEPORT_NEIGH4', 'METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP', 'LB4_AFFINITY_MAP']",[],[],[],[],[],[],[],4,0,0,0,0,0,0,0
tail_handle_arp,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
__fswahb32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
gue_encap_v4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
healthcheck_encap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_network,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
to_host,"['METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
memmove,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
RAW_TRACEPOINT_PROBE,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock6_pre_bind,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_load_paylen,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
xdp_prog_simple,[],[],[],['lru_map'],[],[],[],[],0,0,0,1,0,0,0,0
tail_rev_nodeport_lb6,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
__send_drop_notify,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
hello,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_decap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
to_netdev,"['METRICS_MAP', 'IPV4_FRAG_DATAGRAMS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
test,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
main,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
jhash,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
to_overlay,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
_send_drop_notify,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
bpf_xdp_entry,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
custom_hook,['bytecount_map'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
__be32_to_cpup,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_nat_fwd_ipv6,"['map', 'METRICS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
tail_ipv6_host_policy_ingress,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__fswahw32,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv4_l4_csum,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock4_connect,"['LB4_REVERSE_NAT_SK_MAP', 'METRICS_MAP', 'LB4_AFFINITY_MAP']",[],[],[],[],[],[],[],3,0,0,0,0,0,0,0
handle_policy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_netdev,['METRICS_MAP'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
ipv4_extract_tuple,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__cpu_to_le64p,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__fswab64,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
sock4_getpeername,"['LB4_REVERSE_NAT_SK_MAP', 'METRICS_MAP']",[],[],[],[],[],[],[],2,0,0,0,0,0,0,0
,,,,,,,,,94,1,0,2,0,0,0,1
